City,Country,Latitude,Longitude,Cloudiness %,Humidity %,Temperature,Wind Speed (mph)
severo-kurilsk,RU,50.68,156.12,100,83,48.06,18.03
kenai,US,60.55,-151.26,1,70,48.49,24.16
ibra,OM,22.69,58.53,1,12,89.78,5.7
luderitz,NA,-26.65,15.16,0,54,60.6,27.83
hirado,JP,33.36,129.55,2,30,69.19,8.99
yenangyaung,MM,20.47,94.88,39,82,80.58,8.12
kahului,US,20.89,-156.47,1,69,72.45,9.17
namibe,AO,-15.2,12.15,40,64,75.2,11.41
souillac,MU,-20.52,57.52,75,78,73.4,11.41
torbay,CA,47.67,-52.73,75,68,65.07,18.34
port elizabeth,CD,-7.03,29.76,57,43,86.2,2.62
mount isa,GB,53.66,-1.85,57,70,54.68,4.0
marfino,RU,55.7,37.38,5,39,62.04,11.18
pitea,SE,65.32,21.48,90,81,46.4,8.05
kloulklubed,PW,7.04,134.26,75,94,77.0,3.36
talnakh,RU,69.49,88.4,75,93,37.4,6.71
pandan,PH,14.05,124.17,63,82,81.12,6.06
maraa,BR,-1.83,-65.37,99,51,90.34,2.42
baruun-urt,MN,46.68,113.28,100,52,48.2,3.42
nipawin,CA,53.37,-104.0,90,81,48.2,9.17
lavrentiya,RU,65.58,-171.0,89,92,32.99,10.92
sioux lookout,US,42.73,-96.23,1,54,57.43,10.29
belen,TR,36.49,36.22,20,62,86.0,17.22
hamilton,US,39.18,-84.53,20,88,68.9,8.05
port blair,CD,-7.03,29.76,57,43,86.2,2.62
ostrovnoy,RU,68.05,39.51,78,74,42.26,5.64
chuy,UY,-33.7,-53.46,100,92,66.15,6.11
gandajika,CD,-6.75,23.95,88,46,87.37,1.5
petrivka,UA,46.97,30.96,0,31,75.11,15.66
paka,MY,4.64,103.44,100,83,80.31,2.24
krasnoselkup,RU,65.7,82.47,100,91,49.64,17.36
west odessa,US,31.8,-97.09,90,83,77.0,10.29
fort nelson,NL,52.65,6.39,93,83,58.66,1.99
nakasongola,UG,1.31,32.46,12,72,77.43,5.1
beawar,IN,26.1,74.32,21,47,82.15,7.72
nemuro,JP,43.32,145.57,13,81,57.34,19.98
clarence town,US,42.98,-78.59,75,60,73.38,21.92
reo,BF,12.32,-2.47,8,38,93.94,2.17
bogalusa,US,30.79,-89.85,90,94,71.02,3.91
port lincoln,CD,-7.03,29.76,57,43,86.2,2.62
eydhafushi,MV,5.1,73.07,1,74,82.92,9.24
tonantins,BR,-2.87,-67.8,7,46,94.91,1.48
clyde river,US,41.3,-82.98,22,79,69.62,1.99
gigmoto,PH,13.78,124.39,12,82,81.73,6.2
ambon,ID,-3.7,128.18,75,94,77.0,3.36
skjervoy,NO,70.03,20.97,0,57,46.4,17.22
gamba,GA,-2.65,10.0,40,72,77.54,11.1
tuktoyaktuk,CA,69.45,-133.04,90,100,35.6,10.29
kalmunai,LK,7.42,81.82,33,79,82.06,14.72
kyshtovka,RU,56.55,76.63,79,85,45.0,5.23
cidreira,BR,-30.18,-50.21,100,82,69.87,8.37
kaitangata,NZ,-46.28,169.85,59,65,37.99,11.99
rio branco,GR,38.3,21.78,20,54,78.06,11.41
adilcevaz,TR,38.8,42.73,20,43,71.6,5.82
hanno,JP,35.85,139.32,1,100,65.03,5.39
aklavik,CA,68.22,-135.01,75,95,32.0,2.24
xinzhou,CN,38.41,112.73,7,72,59.09,1.92
chapais,CA,49.78,-74.85,90,100,59.0,12.75
pachino,IT,36.72,15.09,75,68,75.99,1.99
olinda,BR,-8.01,-34.86,40,58,84.2,13.87
bozeman,US,45.68,-111.04,1,86,39.4,5.82
guaruja,BR,-23.99,-46.26,40,78,77.0,4.7
bathsheba,BB,13.22,-59.52,40,79,84.2,20.8
linjiang,CN,41.81,126.91,0,82,52.12,1.25
chumphon,TH,10.33,98.83,40,94,77.0,2.24
innisfail,AU,-17.53,146.03,77,87,71.37,2.95
pokhara,NP,28.23,83.98,0,73,69.8,2.66
tuatapere,NZ,-46.13,167.68,98,92,34.0,8.01
nara,JP,34.69,135.8,11,70,65.01,6.67
karratha,AU,-20.74,116.85,0,61,70.63,16.44
spasskoye,RU,44.61,132.8,0,82,49.75,4.25
shu,KZ,43.6,73.76,0,41,53.4,11.68
san carlos,ML,13.3,-4.9,6,35,95.52,5.55
castro,BR,-24.79,-50.01,62,30,86.97,12.91
jales,BR,-20.27,-50.55,0,18,99.79,9.48
saint-pierre,RE,-21.34,55.48,90,57,70.66,10.29
north bend,FR,50.33,3.67,63,83,62.01,3.0
qarayeri,AZ,40.79,46.31,20,44,78.8,11.41
awjilah,LY,29.11,21.29,0,16,103.15,3.36
castelo branco,BR,-20.6,-41.18,0,36,91.36,3.47
najran,SA,17.49,44.13,59,12,93.2,9.17
arraial do cabo,BR,-22.84,-46.65,0,22,93.22,13.87
cockburn town,AU,-32.08,141.0,40,61,50.0,6.93
college,US,64.86,-147.8,20,80,36.34,6.93
chokurdakh,RU,70.63,147.92,100,68,40.69,3.91
yuanping,CN,38.72,112.76,0,74,58.64,1.05
alta floresta,NO,69.97,23.27,0,65,45.63,17.22
sol-iletsk,RU,51.16,54.99,0,44,55.44,5.55
ola,RU,59.58,151.28,27,91,42.58,8.59
bhatkal,IN,13.97,74.57,18,86,78.31,5.23
nanortalik,GL,60.14,-45.24,0,73,38.68,11.3
korla,CN,41.76,86.15,97,88,64.99,3.0
tazovskiy,RU,67.47,78.7,99,96,45.18,16.89
nelson bay,NZ,-41.28,173.28,36,88,46.0,8.19
oktyabrskiy,RU,54.48,53.47,47,66,54.48,1.77
odweyne,SO,9.41,45.06,52,30,86.94,4.83
forecariah,GN,9.43,-13.09,75,70,84.2,9.17
tessalit,ML,20.2,1.01,0,7,103.55,7.61
omsukchan,RU,62.53,155.8,0,85,34.18,7.61
moa,CU,20.66,-74.94,18,66,85.26,9.48
hostinne,CZ,50.54,15.72,100,90,45.5,6.55
poum,NC,-20.23,164.02,74,83,75.04,11.48
flinders,AU,-34.58,150.86,93,75,50.18,1.01
tiksi,RU,71.69,128.87,100,89,41.67,6.82
quesnel,CA,53.0,-122.5,90,93,37.4,3.36
aguimes,ES,27.91,-15.45,40,51,79.9,29.97
yaan,NG,7.38,8.57,82,80,78.19,5.79
srednekolymsk,RU,67.45,153.68,100,63,42.73,8.63
chingola,ZM,-12.53,27.88,47,12,91.6,7.58
yerbogachen,RU,61.28,108.01,100,72,44.06,12.39
stanghelle,NO,60.55,5.74,76,73,61.66,2.98
gat,IL,31.61,34.76,0,53,85.66,4.0
ixtapa,MX,20.7,-105.2,40,83,80.6,0.98
shitanjing,CN,39.23,106.34,84,65,60.75,16.13
camapua,BR,-19.53,-54.04,0,22,100.27,14.43
belmonte,BR,-15.86,-38.88,40,61,80.6,13.87
bokoro,TD,12.38,17.06,46,35,94.44,3.91
west wendover,US,31.8,-97.09,90,83,77.0,10.29
hirara,JP,24.8,125.28,100,80,76.93,9.42
salalah,OM,17.02,54.09,20,78,80.6,9.17
rezekne,LV,56.5,27.32,0,63,64.2,10.71
ahipara,NZ,-35.17,173.17,1,81,57.16,14.47
aksarka,RU,66.56,67.8,52,77,44.35,10.49
bengkulu,ID,-3.8,102.27,78,84,77.22,5.12
faanui,PF,-16.48,-151.75,31,78,78.12,14.18
grand gaube,US,38.88,-109.5,1,36,59.58,12.75
fevik,NO,58.38,8.68,75,77,59.83,13.87
dunmanway,IE,51.72,-9.12,75,77,60.48,10.29
buala,SB,-8.14,159.59,100,87,78.71,15.77
killybegs,IE,54.63,-8.45,75,76,58.08,8.05
fortuna,US,40.6,-124.16,90,100,54.21,3.36
yabelo,ET,4.88,38.08,89,52,72.05,5.37
husavik,IS,66.04,-17.34,90,93,44.6,5.82
nouadhibou,MR,20.93,-17.03,0,58,84.2,12.75
awbari,LY,26.59,12.78,0,8,101.95,13.8
muros,ES,42.78,-9.06,81,59,66.54,11.99
klaksvik,FO,62.23,-6.59,100,81,48.2,17.22
vardo,NO,70.37,31.11,0,52,46.4,3.36
znamenskoye,RU,57.13,73.83,83,94,45.39,4.41
coos bay,US,43.17,-124.0,1,100,51.3,4.47
nhulunbuy,AU,-12.23,136.77,4,88,77.0,4.7
tadine,NC,-21.55,167.88,18,90,72.64,5.14
provideniya,RU,64.38,-173.3,93,92,32.04,8.99
madang,PG,-5.22,145.8,40,87,78.3,3.15
mehamn,NO,71.04,27.85,1,64,42.71,6.96
yenagoa,NG,4.92,6.26,100,91,76.19,4.18
lagunillas,VE,10.13,-71.26,96,74,84.92,10.22
trincomalee,LK,8.57,81.23,77,78,82.47,6.73
komsomolskiy,UZ,40.43,71.72,100,27,73.4,2.24
araouane,ML,18.9,-3.53,21,8,104.27,5.08
shasta lake,US,40.77,-122.03,1,31,54.12,17.22
urumqi,CN,43.8,87.6,100,28,57.2,4.47
georgiyevka,KZ,43.04,74.71,40,35,55.4,8.95
macas,EC,-2.32,-78.12,20,64,73.4,2.24
avarua,CK,-21.21,-159.78,99,78,71.6,9.17
alice springs,US,27.75,-98.07,20,94,79.0,6.93
eureka,US,40.8,-124.16,0,96,52.74,5.57
praia,CV,14.92,-23.51,20,70,87.8,8.05
maningrida,AU,-12.07,134.27,7,86,77.68,7.47
chinhoyi,ZW,-17.37,30.2,59,11,95.85,0.38
hervey bay,US,33.5,-93.78,1,88,68.58,10.29
nha trang,NP,27.91,86.72,32,76,37.42,1.99
zhigansk,RU,66.77,123.37,99,83,42.69,4.92
gubkinskiy,RU,64.43,76.5,98,86,51.98,19.55
dunedin,NZ,-45.87,170.5,0,63,39.34,5.01
correntina,BR,-13.34,-44.64,0,16,97.95,5.73
strezhevoy,RU,60.73,77.59,72,81,53.6,6.71
enid,US,36.4,-97.88,1,72,69.3,11.41
vicksburg,US,32.35,-90.88,75,100,73.4,5.82
leningradskiy,RU,69.38,178.42,0,91,26.98,6.96
dandong,CN,40.13,124.39,0,86,58.93,0.96
san cristobal,ML,13.3,-4.9,6,35,95.52,5.55
rio gallegos,GR,38.3,21.78,20,54,78.06,11.41
byron bay,US,44.03,-92.65,1,76,54.64,8.05
kaabong,UG,3.48,34.15,18,56,75.42,11.03
uva,RU,56.99,52.19,3,60,57.99,4.09
alyangula,AU,-13.85,136.42,100,88,75.2,6.76
lata,PT,40.16,-8.33,0,52,75.88,10.49
hobyo,SO,5.35,48.53,100,84,77.07,18.95
pemba,MZ,-12.97,40.52,20,78,80.31,14.99
markova,UA,48.68,24.41,75,62,59.0,1.39
tocopilla,CL,-22.09,-70.2,18,52,65.62,8.9
las palmas,PL,49.74,19.43,82,3,48.99,11.01
sitka,US,57.05,-135.33,90,66,51.8,28.86
nome,US,64.5,-165.41,90,69,35.78,12.75
palaikastron,GR,35.2,26.25,14,58,81.0,7.0
grande prairie,DE,53.58,10.38,100,97,53.01,1.01
palana,RU,59.12,159.97,1,84,37.22,14.67
catabola,AO,-12.15,17.28,55,21,86.76,7.34
guerrero,MX,17.67,-100.0,41,74,73.92,1.34
baykit,RU,61.67,96.37,99,80,44.65,6.17
sao jose da coroa grande,IN,20.51,76.21,99,87,72.99,4.32
asau,RO,46.43,26.4,0,56,62.01,6.8
richards bay,US,46.84,-95.91,90,81,50.0,12.75
nanakuli,US,21.39,-158.15,1,73,74.53,3.36
codrington,AU,-38.27,141.97,0,86,37.67,6.11
marawi,PH,8.0,124.29,100,90,77.0,5.99
bambous virieux,MU,-20.26,57.41,75,78,73.71,11.41
akyab,MM,20.15,92.9,56,86,81.93,6.98
kununurra,AU,-15.77,128.73,100,88,78.8,4.7
repatriacion,PY,-25.53,-55.95,59,24,101.16,15.08
anshun,CN,26.25,105.93,100,97,57.87,7.52
santa maria,PH,17.49,120.43,100,79,80.76,2.21
rodbyhavn,DK,54.65,11.35,88,86,62.65,7.0
port hueneme,CD,-7.03,29.76,57,43,86.2,2.62
amahai,ID,-3.33,128.92,100,86,78.28,4.7
sisimiut,GL,66.94,-53.67,99,83,35.38,11.27
boden,SE,65.83,21.69,90,81,46.4,8.05
nishihara,JP,26.18,127.76,90,88,75.24,3.36
catamarca,AR,-28.47,-65.79,7,50,61.84,8.99
darhan,MN,49.49,105.92,37,67,41.99,4.07
mahroni,IN,24.59,78.73,73,75,78.17,5.23
ondangwa,NA,-17.92,15.95,0,6,96.8,5.82
zilair,RU,52.23,57.44,0,71,47.98,1.72
hay river,GB,52.07,-3.13,0,48,60.58,3.0
manono,CD,-7.3,27.42,88,41,89.1,2.59
berlevag,NO,70.86,29.09,0,63,43.25,9.06
vallenar,CL,-28.57,-70.76,0,29,70.57,5.26
skibbereen,IE,51.55,-9.27,75,77,59.0,10.29
omboue,GA,-1.57,9.26,11,67,79.02,11.7
tumut,AU,-35.3,148.22,0,87,38.5,2.82
sobolevo,RU,54.43,31.9,14,61,60.08,15.57
araceli,PH,10.55,119.99,98,74,84.15,7.25
bara,NG,10.37,10.73,55,49,88.14,2.71
port hedland,CD,-7.03,29.76,57,43,86.2,2.62
dalbandin,PK,28.89,64.41,0,16,77.11,7.92
parati,BR,-23.22,-44.71,19,27,91.4,4.7
jalu,LY,29.03,21.55,0,15,103.75,2.46
mranggen,ID,-7.03,110.52,100,88,77.07,3.06
dakar,SN,14.69,-17.44,40,70,87.8,6.93
airai,TL,-8.93,125.41,65,80,60.58,3.06
kavieng,PG,-2.57,150.8,52,78,82.53,9.66
kilindoni,TZ,-7.91,39.67,69,82,78.39,11.65
townsville,AU,-19.25,146.8,75,78,74.19,10.29
ladario,BR,-19.0,-57.6,0,37,96.8,12.75
saint-augustin,CA,51.23,-58.65,97,73,63.79,15.77
vostok,RU,46.49,135.88,0,83,40.5,3.06
norman wells,US,35.22,-97.44,90,88,70.77,13.87
southbridge,US,42.08,-72.03,80,93,68.22,6.13
pasighat,IN,28.07,95.33,100,85,74.3,3.89
sao filipe,IN,20.51,76.21,99,87,72.99,4.32
tilichiki,RU,60.47,166.1,0,92,33.67,1.72
warrington,GB,53.39,-2.58,21,58,57.07,10.29
oslob,PH,9.52,123.43,97,73,83.68,4.43
samarai,PG,-10.62,150.67,60,86,79.32,12.62
noshiro,JP,40.2,140.02,96,84,61.95,7.47
sesheke,ZM,-17.48,24.3,95,9,102.2,3.69
miri,MY,4.41,114.01,40,88,78.4,4.7
riyadh,SA,24.69,46.72,0,10,102.2,9.17
alofi,NU,-19.06,-169.92,96,88,73.4,14.99
kutum,SD,14.2,24.67,88,37,85.73,8.99
svetlyy,RU,54.67,20.13,100,53,72.01,20.13
teano,IT,41.25,14.07,75,93,61.18,21.77
lorengau,PG,-2.02,147.27,30,80,80.94,8.46
chernushka,RU,56.51,56.08,100,81,50.95,5.59
tsiroanomandidy,MG,-18.77,46.03,80,36,81.12,9.31
bardiyah,LY,31.76,25.09,0,74,78.12,13.91
okha,RU,53.57,142.95,2,87,45.55,12.37
mandalgovi,MN,45.76,106.27,1,53,44.49,7.18
kargil,IN,34.57,76.1,45,45,47.75,7.56
mayo,US,38.89,-76.51,90,100,69.15,4.7
bhayavadar,IN,21.85,70.25,44,76,78.55,7.34
makakilo city,US,21.35,-158.09,1,73,75.07,3.36
aloleng,PH,16.13,119.78,100,77,82.96,3.6
kropotkin,RU,45.44,40.58,52,41,76.03,13.94
quelimane,MZ,-17.88,36.89,0,52,89.37,20.8
terney,RU,45.05,136.61,13,80,51.53,3.33
soe,ID,-9.86,124.28,55,96,65.71,5.19
san jose de rio tinto,ML,13.3,-4.9,6,35,95.52,5.55
troitsko-pechorsk,RU,62.71,56.2,100,88,54.21,4.68
sambava,MG,-14.27,50.17,6,80,74.53,7.9
roma,US,43.21,-75.46,1,77,71.01,8.05
bereda,ES,43.27,-7.54,80,55,64.63,10.0
phan thiet,TH,19.55,99.74,20,94,80.28,3.36
atar,MR,20.52,-13.05,19,13,102.2,13.35
pangnirtung,CA,66.15,-65.71,82,90,31.44,1.19
isangel,VU,-19.55,169.27,5,84,72.84,5.17
weligama,LK,5.97,80.42,84,84,79.48,7.61
yakeshi,CN,49.28,120.73,0,70,41.88,9.53
truro,GB,50.27,-5.05,20,62,56.17,17.22
alihe,CN,50.57,123.72,0,72,44.29,5.21
uarini,BR,-2.99,-65.11,20,83,84.2,6.93
banda aceh,IN,25.48,80.33,39,50,87.22,5.77
ypsonas,CY,34.69,32.96,0,58,84.2,16.11
kyren,RU,51.68,102.14,84,77,38.75,1.7
outjo,NA,-20.12,16.15,0,10,87.19,20.31
rocha,UY,-34.48,-54.33,100,90,66.09,8.32
pemangkat,ID,1.17,108.97,100,81,78.39,3.94
sumbuya,SL,7.65,-11.96,93,86,79.77,6.6
bure,ET,10.7,37.07,55,90,62.83,2.04
tiffin,US,41.11,-83.18,66,82,69.01,16.8
mangan,IN,27.52,88.53,45,54,73.15,2.59
vao,NC,-22.67,167.48,99,88,72.14,10.07
ulladulla,AU,-35.35,150.47,78,87,40.5,5.82
camacupa,AO,-12.02,17.48,90,23,86.31,5.17
grand-santi,GF,4.25,-54.38,17,42,94.23,3.67
taoudenni,ML,22.68,-3.98,0,6,110.28,5.32
mitsamiouli,KM,-11.38,43.28,20,51,86.0,23.04
bighapur,IN,26.35,80.68,0,74,86.0,2.24
kedrovyy,RU,56.17,91.82,92,81,44.6,8.95
workington,GB,54.64,-3.54,50,69,51.01,5.75
porto walter,PT,41.15,-8.61,20,68,71.22,13.87
bitung,ID,1.45,125.18,20,94,77.0,1.12
vila praia de ancora,PT,42.03,-8.16,8,61,66.99,8.01
veraval,IN,20.9,70.37,1,76,80.8,7.99
vilyuysk,RU,63.76,121.62,100,81,42.35,5.84
tiarei,PF,-17.53,-149.33,20,78,75.09,4.7
luwingu,ZM,-10.26,29.93,97,14,92.32,0.81
leua,SK,48.22,18.61,1,60,62.98,1.01
gasa,PS,31.5,34.47,0,60,86.04,21.3
portland,US,45.52,-122.68,20,87,51.73,5.82
high level,US,33.61,-95.75,26,88,75.65,15.99
geraldton,AU,-28.77,114.6,0,82,55.4,4.7
rovaniemi,FI,66.5,25.72,90,93,44.6,12.75
ofaqim,IL,31.31,34.62,0,60,87.01,20.54
puerto leguizamo,ES,36.59,-6.23,20,60,78.4,16.11
smithers,CA,54.78,-127.17,90,86,41.0,6.93
pilar,BR,-9.6,-35.96,75,74,80.6,10.29
ornes,NO,66.87,13.71,20,40,52.56,23.04
kristianstad,SE,56.03,14.15,61,72,67.35,14.99
hopelchen,MX,19.77,-89.85,40,100,78.8,5.82
mendi,PG,-6.18,143.65,100,100,56.64,1.21
iracoubo,GF,5.48,-53.2,82,58,87.37,9.42
amiens,FR,49.9,2.3,94,87,59.88,26.4
blagoyevo,RU,63.37,47.92,93,85,54.21,3.94
pastavy,BY,55.12,26.83,26,65,63.95,11.65
necochea,AR,-38.55,-58.74,100,99,53.01,15.01
mecca,SA,21.43,39.83,0,29,96.89,9.62
brae,GB,60.4,-1.35,40,81,51.8,4.7
talara,PE,-4.58,-81.27,0,72,68.0,27.51
ewa beach,ID,-8.62,122.51,32,83,76.6,4.47
hambantota,LK,6.12,81.12,75,94,80.6,8.05
hsinchu,TW,24.8,120.97,100,96,70.23,1.99
cabadiangan,PH,9.75,122.47,94,81,78.76,2.91
ketchikan,US,55.34,-131.65,90,93,49.62,34.45
altay,CN,47.87,88.12,0,66,39.76,0.69
trairi,BR,-3.28,-39.27,15,49,87.19,16.55
san carlos de bariloche,ML,13.3,-4.9,6,35,95.52,5.55
minas,UY,-34.38,-55.24,90,88,65.43,11.41
samoded,RU,63.61,40.51,100,92,54.99,3.24
gaozhou,CN,21.94,110.85,100,92,77.22,3.47
baringo,KE,0.47,35.97,41,32,86.67,6.58
aktash,RU,50.3,87.73,98,87,25.03,2.39
irondale,US,33.54,-86.71,20,73,74.61,3.36
katsuura,JP,35.13,140.3,75,94,67.51,3.36
skegness,GB,53.14,0.34,75,76,56.48,12.75
vysokogornyy,RU,50.12,139.15,0,91,39.58,1.25
hailey,US,43.52,-114.32,5,69,32.54,8.05
reftinskiy,RU,57.09,61.68,7,76,50.0,2.24
progreso,MX,21.28,-89.67,75,88,83.73,10.29
anadyr,RU,64.75,177.48,0,73,26.28,8.95
pangai,TO,-19.8,-174.35,13,75,74.64,14.12
katobu,ID,-4.94,122.53,60,87,74.28,4.16
shalinskoye,RU,55.72,93.76,98,92,38.5,5.28
ankang,CN,32.68,109.02,100,78,66.52,0.81
praia da vitoria,CV,14.92,-23.51,20,70,87.8,8.05
novopavlovsk,RU,43.96,43.63,90,64,71.46,8.95
beruwala,LK,6.48,79.98,53,82,80.71,6.53
iskateley,RU,67.68,53.15,18,79,41.04,7.2
kaseda,JP,31.42,130.32,6,88,66.0,3.0
broome,US,42.25,-75.83,90,93,66.47,5.82
genhe,CN,50.78,121.52,0,78,40.35,8.39
zliv,CZ,49.07,14.37,6,51,58.69,4.0
nazarovo,RU,56.01,90.39,88,93,40.21,3.94
chimoio,MZ,-19.12,33.48,0,40,87.8,16.11
bekhtery,UA,46.25,32.29,0,46,73.2,15.66
batagay-alyta,RU,67.8,130.41,100,94,32.47,1.1
orlik,RU,52.52,99.83,89,86,32.97,1.92
cienfuegos,CU,22.15,-80.44,20,83,80.6,2.24
